ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-03-12 08:00:00,16373.425836428876,12409.89192525584,16635.372267224197,16373.425836428876,16373.425836428876,-1833.8956504581065,-1833.8956504581065,-1833.8956504581065,-2155.7467779666504,-2155.7467779666504,-2155.7467779666504,321.8511275085437,321.8511275085437,321.8511275085437,0.0,0.0,0.0,14539.530185970769
2026-03-12 09:00:00,16370.692501343576,12303.525350222144,16705.599930528242,16370.692501343576,16370.692501343576,-1800.482535072138,-1800.482535072138,-1800.482535072138,-2107.724742139849,-2107.724742139849,-2107.724742139849,307.24220706771007,307.24220706771007,307.24220706771007,0.0,0.0,0.0,14570.209966271437
2026-03-12 10:00:00,16367.959166258272,12762.412527224746,17114.336231813148,16367.959166258272,16367.959166258272,-1396.721044122605,-1396.721044122605,-1396.721044122605,-1690.5284616599527,-1690.5284616599527,-1690.5284616599527,293.8074175373475,293.8074175373475,293.8074175373475,0.0,0.0,0.0,14971.238122135666
2026-03-12 11:00:00,16365.225831172971,13580.983501603634,17786.07620511157,16365.225831172971,16365.225831172971,-747.6738522558643,-747.6738522558643,-747.6738522558643,-1029.3572398668612,-1029.3572398668612,-1029.3572398668612,281.6833876109968,281.6833876109968,281.6833876109968,0.0,0.0,0.0,15617.551978917107
2026-03-12 12:00:00,16362.49249608767,14066.077089948903,18365.163872217392,16362.49249608767,16362.49249608767,-108.46056775392762,-108.46056775392762,-108.46056775392762,-379.4461101615446,-379.4461101615446,-379.4461101615446,270.9855424076171,270.9855424076171,270.9855424076171,0.0,0.0,0.0,16254.031928333743
2026-03-12 13:00:00,16359.759161002366,14476.314626966352,18802.162371547587,16359.759161002366,16359.759161002366,291.16735966548,291.16735966548,291.16735966548,29.361052101694796,29.361052101694796,29.361052101694796,261.8063075637853,261.8063075637853,261.8063075637853,0.0,0.0,0.0,16650.926520667846
2026-03-12 14:00:00,16357.025825917066,14637.830586919554,18982.963853696572,16357.025825917066,16357.025825917066,384.3686576656297,384.3686576656297,384.3686576656297,130.15505857045153,130.15505857045153,130.15505857045153,254.21359909517813,254.21359909517813,254.21359909517813,0.0,0.0,0.0,16741.394483582695
2026-03-12 15:00:00,16354.292490831762,14665.305282139416,18802.7997115665,16354.292490831762,16354.292490831762,275.11622904184384,275.11622904184384,275.11622904184384,26.866608256759886,26.866608256759886,26.866608256759886,248.2496207850841,248.2496207850841,248.2496207850841,0.0,0.0,0.0,16629.408719873605
2026-03-12 16:00:00,16351.559155746461,14360.45578869351,18438.793378391794,16351.559155746461,16351.559155746461,127.1063934254151,127.1063934254151,127.1063934254151,-116.82359361414282,-116.82359361414282,-116.82359361414282,243.92998703955797,243.92998703955797,243.92998703955797,0.0,0.0,0.0,16478.665549171878
2026-03-12 17:00:00,16348.825820661157,14228.271420638695,18539.384977190846,16348.825820661157,16348.825820661157,48.009145423646224,48.009145423646224,48.009145423646224,-193.2340396411063,-193.2340396411063,-193.2340396411063,241.2431850647526,241.2431850647526,241.2431850647526,0.0,0.0,0.0,16396.834966084803
2026-03-12 18:00:00,16346.092485575857,14242.446260772787,18706.623950246292,16346.092485575857,16346.092485575857,69.11000128013316,69.11000128013316,69.11000128013316,-171.04038470812102,-171.04038470812102,-171.04038470812102,240.1503859882542,240.1503859882542,240.1503859882542,0.0,0.0,0.0,16415.20248685599
2026-03-12 19:00:00,16343.359150490556,14340.690521628787,18583.808547024975,16343.359150490556,16343.359150490556,209.57251255523616,209.57251255523616,209.57251255523616,-31.013097593852454,-31.013097593852454,-31.013097593852454,240.58561014908852,240.58561014908852,240.58561014908852,0.0,0.0,0.0,16552.93166304579
2026-03-12 20:00:00,16340.625815405254,14883.93623317645,19230.167209439573,16340.625815405254,16340.625815405254,524.7954222819004,524.7954222819004,524.7954222819004,282.33917498130074,282.33917498130074,282.33917498130074,242.45624730059964,242.45624730059964,242.45624730059964,0.0,0.0,0.0,16865.421237687155
2026-03-12 21:00:00,16337.892480319953,15155.835154677598,19491.064685357,16337.892480319953,16337.892480319953,1062.4578526246664,1062.4578526246664,1062.4578526246664,816.813924652881,816.813924652881,816.813924652881,245.64392797178544,245.64392797178544,245.64392797178544,0.0,0.0,0.0,17400.35033294462
